Time-Stamp,DeviceID,DeviceType,Status,MAX_High_Current,MIN_High_Current,MAX_Mid_Current,MIN_Mid_Current,MAX_Low_Current,MIN_Low_Current,MAX_Off_Current,MIN_Off_Current,SW1,Current-1,SW2,Current-2,SW3,Current-3,SW4,Current-4,Lot_ID,Issue-Name,Print_Status,Firmware_Version
2024-07-04 10:26:46,F4CE36151A903595,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,1037 mA,off,11 mA,1,922 mA,2,1069 mA,DEMO-L202411,,1,
2024-07-01 13:04:24,F4CE3615426D782E,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,907 mA,off,12 mA,1,942 mA,2,990 mA,DEMO-L202411,,1,
2024-07-02 13:42:23,F4CE36159647D2D9,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,982 mA,off,11 mA,1,813 mA,2,833 mA,DEMO-L202411,,1,
2024-07-04 09:46:15,F4CE36160610C886,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,918 mA,off,12 mA,1,1079 mA,2,992 mA,DEMO-L202411,,1,
2024-07-04 14:34:19,F4CE3617ABB20C54,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,963 mA,off,11 mA,1,953 mA,2,1010 mA,DEMO-L202411,,1,
2024-07-02 11:47:55,F4CE3617D197CD54,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,1008 mA,off,12 mA,1,876 mA,2,974 mA,DEMO-L202411,,1,
2024-07-02 13:42:23,F4CE361852F86D80,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,985 mA,off,10 mA,1,925 mA,2,862 mA,DEMO-L202411,,1,
2024-07-04 10:49:42,F4CE3618EF026F0A,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,920 mA,off,12 mA,1,855 mA,2,1159 mA,DEMO-L202411,,1,
2024-07-04 10:26:46,F4CE36192D417513,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,1043 mA,off,11 mA,1,1092 mA,2,875 mA,DEMO-L202411,,1,
2024-07-03 16:06:07,F4CE36195883F283,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,1006 mA,off,10 mA,1,907 mA,2,957 mA,DEMO-L202411,,1,
2024-07-02 13:42:23,F4CE36195A1772F4,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,975 mA,off,11 mA,1,1031 mA,2,976 mA,DEMO-L202411,,1,
2024-07-01 13:59:24,F4CE361A2848566A,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,842 mA,off,12 mA,1,859 mA,2,853 mA,DEMO-L202411,,1,
2024-07-04 15:15:21,F4CE361A5E07E21A,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,927 mA,off,12 mA,1,782 mA,2,977 mA,DEMO-L202411,,1,
2024-07-02 13:42:23,F4CE361A68ADCF09,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,988 mA,off,11 mA,1,807 mA,2,863 mA,DEMO-L202411,,1,
2024-07-02 10:12:23,F4CE361A85B17677,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,986 mA,off,11 mA,1,977 mA,2,898 mA,DEMO-L202411,,1,
2024-07-04 10:49:42,F4CE361C29B25E22,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,955 mA,off,10 mA,1,859 mA,2,872 mA,DEMO-L202411,,1,
2024-07-04 14:08:34,F4CE361CDF9A6645,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,HIGH,919 mA,OFF,11 mA,LOW,977 mA,MID,1027 mA,DEMO-L202411,,1,
2024-07-02 13:42:23,F4CE361D03D32231,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,785 mA,off,12 mA,1,1010 mA,2,770 mA,DEMO-L202411,,1,
2024-07-04 09:46:15,F4CE361D5A3DC2D9,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,HIGH,1077 mA,OFF,10 mA,LOW,1039 mA,MID,1062 mA,DEMO-L202411,,1,
2024-07-02 10:25:49,F4CE361DBBD5DDF6,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,897 mA,off,10 mA,1,941 mA,2,921 mA,DEMO-L202411,,1,
2024-07-02 13:42:23,F4CE361E0BB696C7,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,788 mA,off,10 mA,1,836 mA,2,781 mA,DEMO-L202411,,1,
2024-07-04 09:46:15,F4CE361ECB0FE9B6,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,996 mA,off,13 mA,1,875 mA,2,867 mA,DEMO-L202411,,1,
2024-07-03 15:06:02,F4CE361F48B32A0B,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,HIGH,956 mA,OFF,13 mA,LOW,964 mA,MID,962 mA,DEMO-L202411,,1,
